sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-11329216,Custom Name Necklace,Gold Custom Necklace (With Message Card),26.50,,,,,1000,1000
SO-11333495,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-11333496,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-11333497,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-11333498,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-11356952,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-11356953,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-11371112,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11371113,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11371114,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11371115,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11398785,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11398786,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11398787,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11398788,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11408182,Acrylic Square Plaque,Acrylic Square,11.50,,,,,1000,1000
SO-11408185,Acrylic Square Plaque,Acrylic Square with LED Corded Base,12.00,,,,,1000,1000
SO-11467796,Alluring Beauty Necklace & Earring Set,Alluring Beauty + Clear CZ Earrings,16.50,,,,,1000,1000
SO-11467797,Alluring Beauty Necklace & Earring Set,Alluring Beauty + Clear CZ Earrings,25.00,,,,,1000,1000
SO-11471705,Acrylic Heart Plaque,Acrylic Heart,11.50,,,,,1000,1000
SO-11471706,Acrylic Heart Plaque,Acrylic Heart with LED Corded Base,12.00,,,,,1000,1000
SO-11471743,Acrylic Heart Plaque,Acrylic Heart,11.50,,,,,1000,1000
SO-11471745,Acrylic Heart Plaque,Acrylic Heart with LED Corded Base,12.00,,,,,1000,1000
SO-11504162,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11504164,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11504165,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11504166,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11504919,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11504920,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11504921,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11504922,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11504923,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-11504924,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-11504925,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-11504926,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-11505770,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-11505771,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-11505772,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-11505773,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-11520612,Acrylic Heart Block,Acrylic Heart (No Base),10.50,,,,,1000,1000
SO-11525705,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11525706,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11525707,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11525708,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11555361,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11555362,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11555363,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11555364,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11731379,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11731380,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11731381,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11731382,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-12344054,Cuban Link Chain - Engraved Artisan Cross,Personalized Cross Necklace with Cuban Chain,15.50,,,,,1000,1000
SO-12736754,Forever Love Necklace with On Demand Message Card (Partner),Forever Love with POD MC (Partner),11.00,other,other,other,0,1000,1000
SO-12736755,Lucky In Love [PARTNER],Lucky in Love Necklace,12.77,other,other,other,0,1000,1000
SO-12736756,Heart Necklace - Engraving,Snake Chain (Silver),9.50,necklace,heart,stainless,0,2000,1959
SO-12736757,Forever Love Necklace with On Demand Message Card (Partner),Gold Forever Love (Partner),16.00,other,other,gold,0,1000,1000
SO-12736758,Acrylic Puzzle Plaque - BU,Buyer Upload - Acrylic Puzzle,9.50,other,other,other,0,1000,1000
SO-12736759,Lucky In Love [PARTNER],Lucky in Love Necklace with Luxury Box,21.27,other,other,other,0,1000,1000
SO-12736760,Acrylic Square Plaque - BU,Buyer Upload - Acrylic Square,11.50,other,other,other,0,1000,1000
SO-12736761,Forever Love Necklace - Gold ONLY - Luxury Box (Partner),Forever Love Necklace (Gold ONLY) + Standard Box (Partner),16.00,other,other,gold,0,1000,1000
SO-12736762,Heart Necklace - Engraving,Snake Chain (Silver),12.50,necklace,heart,stainless,2,2000,1959
SO-12736763,Heart Necklace - Engraving,Snake Chain (Gold),14.50,necklace,heart,gold,0,2000,1959
SO-12736764,Heart Necklace - Engraving,Snake Chain (Gold),17.50,necklace,heart,gold,2,2000,1959
SO-12736765,Stainless Cross Necklace w/ MC (Partner),Stainless Crafted Cross w/ POD MC,12.50,necklace,other,stainless,0,1000,1000
SO-12736766,[Partner] Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,other,other,gold,0,1000,1000
SO-12736767,Forever Love Necklace - Gold ONLY - Luxury Box (Partner),Forever Love Necklace (Gold ONLY) + Luxury Box (Partner),24.50,other,other,gold,0,1000,1000
SO-12736769,Stainless Cross Necklace w/ MC (Partner),Stainless Cross w/ Luxury Box & MC,20.50,other,other,stainless,0,1000,1000
SO-12736770,Engraved Acrylic Paw Plaque - (API/CSV),Engraved Acrylic Paw with LED Base w/Cord,15.00,other,other,other,0,1000,1000
SO-12736771,Graphic Circle Keychain (PARTNER),Circle Pendant with Keychain (Silver),7.50,other,circle,stainless,0,2000,2000
SO-12736772,[Partner] Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,other,other,stainless,0,1000,1000
SO-12736773,[Partner] Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,other,other,gold,0,1000,1000
SO-12736774,[Partner] Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,other,other,stainless,0,1000,1000
SO-12736776,Love Knot Earring & Necklace Set [PARTNER],Love Knot Necklace & Earring Set,21.50,other,other,other,0,1000,1000
SO-12736777,Acrylic Paw Print Plaque - BU,Acrylic Paw Print,11.50,other,other,other,0,1000,1000
SO-12736778,Engraved Acrylic Paw Plaque - (API/CSV),Battery LED Base - Engraved Acrylic Sign,16.00,other,other,other,0,1000,1000
SO-12736779,[PARTNER] Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,other,other,gold,0,1000,1000
SO-12736780,Love Knot Earring & Necklace Set [PARTNER],Love Knot Necklace & Earring Set + Mahogany Style Luxury Box,30.00,other,other,other,0,1000,1000
SO-12736783,Graphic Circle Keychain (PARTNER),Circle Pendant with Keychain (Silver),10.50,other,circle,stainless,2,2000,2000
SO-12736784,Graphic Circle Keychain (PARTNER),Circle Pendant with Keychain (Gold),12.50,other,circle,gold,0,2000,2000
SO-12736785,Graphic Circle Keychain (PARTNER),Circle Pendant with Keychain (Gold),15.50,other,circle,gold,2,2000,2000
SO-12736787,Acrylic Square Plaque - BU,Buyer Upload - Acrylic Square with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736789,[PARTNER] Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,other,other,stainless,0,1000,1000
SO-12736790,[PARTNER] Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,other,other,gold,0,1000,1000
SO-12736791,[PARTNER] Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,other,other,stainless,0,1000,1000
SO-12736792,Acrylic Heart Block - BU,Buyer Upload Acrylic Heart Block,10.50,other,other,other,0,1000,1000
SO-12736794,Acrylic Paw Print Plaque - BU,Acrylic Paw Print with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736795,Custom Name Necklace - BU MC  Partner,Custom Name Necklace (w/MC),13.00,other,other,stainless,0,1000,1000
SO-12736796,Acrylic Ornament Plaque - BU,Acrylic Ornament,8.00,other,other,other,0,1000,1000
SO-12736811,Engraved Acrylic Star Plaque - (API/CSV),Engraved Acrylic Star with LED Base w/Cord,12.00,other,other,other,0,1000,1000
SO-12736812,Custom Name Necklace - BU MC  Partner,Gold Custom Necklace (With Message Card),18.00,other,other,gold,0,1000,1000
SO-12736813,Custom Name Necklace - BU MC  Partner,Custom Name Necklace (w/MC),21.50,other,other,stainless,0,1000,1000
SO-12736814,Custom Name Necklace - BU MC  Partner,Gold Custom Necklace (With Message Card),26.50,other,other,gold,0,1000,1000
SO-12736815,Forever Love Necklace (Rhodium ONLY) + Luxury Box (PARTNER),Forever Love Necklace w/ POD MC,11.00,other,other,other,0,1000,1000
SO-12736817,Forever Love Necklace (Rhodium ONLY) + Luxury Box (PARTNER),Forever Love with MC & Luxury Box,19.50,other,other,other,0,1000,1000
SO-12736819,Engraved Acrylic Star Plaque - (API/CSV),Battery LED Base - Engraved Acrylic Sign,12.00,other,other,other,0,1000,1000
SO-12736821,Engraved Acrylic Heart Plaque - (API/CSV),Engraved Acrylic Heart with LED Base w/Cord,12.00,other,other,other,0,1000,1000
SO-12736822,Acrylic Ornament Plaque - BU,Acrylic Ornament with Gift Box,9.50,other,other,other,0,1000,1000
SO-12736823,Everlasting Love Necklace - (Partner),Everlasting Love with Luxury Box & MC,118.00,other,other,other,0,1000,1000
SO-12736826,Engraved Acrylic Dome Plaque - (API/CSV),Engraved Acrylic Dome with LED Base w/Cord,12.00,other,other,other,0,1000,1000
SO-12736827,Acrylic Star Plaque - BU,Acrylic Star,11.50,other,other,other,0,1000,1000
SO-12736829,Engraved Acrylic Heart Plaque - (API/CSV),Battery LED Base - Engraved Acrylic Sign,12.00,other,other,other,0,1000,1000
SO-12736832,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Steel),9.50,dog-chain,dogtag,stainless,0,1096,2000
SO-12736833,Eternal Hope Necklace [Partner],Eternal Hope Necklace (Standard Box + MC),12.00,other,other,other,0,1000,1000
SO-12736835,Acrylic Circle Plaque - BU,Acrylic Circle,11.50,other,other,other,0,1000,1000
SO-12736836,Engraved Acrylic Dome Plaque - (API/CSV),Battery LED Base - Engraved Acrylic Sign,12.00,other,other,other,0,1000,1000
SO-12736837,Acrylic Star Plaque - BU,Acrylic Star with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736838,Engraved Acrylic Circle Plaque - (API/CSV),Engraved Acrylic Circle with LED Base w/Cord,12.00,other,other,other,0,1000,1000
SO-12736839,Circle Necklace - Engraving,Snake Chain (Silver),9.50,necklace,circle,stainless,0,2000,2000
SO-12736840,Eternal Hope Necklace [Partner],Eternal Hope Necklace with Luxury Box & MC,20.50,other,other,other,0,1000,1000
SO-12736843,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Steel),12.50,dog-chain,dogtag,stainless,2,1096,2000
SO-12736844,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Gold),14.50,dog-chain,dogtag,gold,0,1096,2000
SO-12736845,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Gold),17.50,dog-chain,dogtag,gold,2,1096,2000
SO-12736848,Circle Bangle - Luxury BU No MC,Bangle (Silver),9.50,bangle,circle,stainless,0,2000,2000
SO-12736854,Heart Bangle - Luxury BU No MC,Bangle (Silver),9.50,bangle,heart,stainless,0,2000,1959
SO-12736855,Engraved Acrylic Circle Plaque - (API/CSV),Battery LED Base - Engraved Acrylic Sign,12.00,other,other,other,0,1000,1000
SO-12736857,Circle Necklace - Engraving,Snake Chain (Gold),14.50,necklace,circle,gold,0,2000,2000
SO-12736858,Circle Necklace - Engraving,Snake Chain (Silver),12.50,necklace,circle,stainless,2,2000,2000
SO-12736859,Circle Necklace - Engraving,Snake Chain (Gold),17.50,necklace,circle,gold,2,2000,2000
SO-12736861,Circle Bangle - Luxury BU No MC,Bangle (Gold),14.50,bangle,circle,gold,0,2000,2000
SO-12736862,Circle Bangle - Luxury BU No MC,Bangle (Silver),12.50,bangle,circle,stainless,2,2000,2000
SO-12736863,Circle Bangle - Luxury BU No MC,Bangle (Gold),17.50,bangle,circle,gold,2,2000,2000
SO-12736864,Acrylic Circle Plaque - BU,Acrylic Circle with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736865,Graphic Heart Keychain (PARTNER),Graphic Heart Keychain (Silver),7.50,other,heart,stainless,0,2000,1959
SO-12736866,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Steel),7.50,other,dogtag,stainless,0,1096,2000
SO-12736868,Heart Bangle - Luxury BU No MC,Bangle (Gold),14.50,bangle,heart,gold,0,2000,1959
SO-12736869,Heart Bangle - Luxury BU No MC,Bangle (Silver),12.50,bangle,heart,stainless,2,2000,1959
SO-12736870,Heart Bangle - Luxury BU No MC,Bangle (Gold),17.50,bangle,heart,gold,2,2000,1959
SO-12736873,Acrylic Square Plaque - Engraved BU,Engraved Acrylic Square with LED Base w/Cord,12.00,other,other,other,0,1000,1000
SO-12736874,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Steel),10.50,other,dogtag,stainless,2,1096,2000
SO-12736875,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Gold),9.50,other,dogtag,gold,0,1096,2000
SO-12736876,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Gold),12.50,other,dogtag,gold,2,1096,2000
SO-12736878,Graphic Heart Keychain (PARTNER),Graphic Heart Keychain (Silver),10.50,other,heart,stainless,2,2000,1959
SO-12736879,Graphic Heart Keychain (PARTNER),Graphic Heart Keychain (Gold),12.50,other,heart,gold,0,2000,1959
SO-12736880,Graphic Heart Keychain (PARTNER),Graphic Heart Keychain (Gold),15.50,other,heart,gold,2,2000,1959
SO-12736882,[Partner] Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,other,other,gold,0,1000,1000
SO-12736887,[Partner] Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,other,other,other,0,1000,1000
SO-12736888,[Partner] Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,other,other,gold,0,1000,1000
SO-12736889,[Partner] Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,other,other,other,0,1000,1000
SO-12736891,Acrylic Dome Plaque - BU,Acrylic Dome,11.50,other,other,other,0,1000,1000
SO-12736902,Acrylic Square Plaque - Engraved BU,Battery LED Base - Engraved Acrylic Sign,12.00,other,other,other,0,1000,1000
SO-12736903,Acrylic Heart Plaque - BU,Acrylic Heart,11.50,other,other,other,0,1000,1000
SO-12736904,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736912,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736913,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736914,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736915,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736916,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736917,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736918,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736919,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736920,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736921,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736922,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736923,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736924,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736925,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736926,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736927,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736928,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736929,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736930,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736931,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736932,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736933,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736934,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736935,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736936,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736937,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736938,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736939,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736940,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736941,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736942,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736943,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736944,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736945,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736946,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736947,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736948,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736949,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736950,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736951,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736952,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736953,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736954,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736955,Zodiac Symbol Necklace - BU,Zodiac Necklace,9.00,other,other,stainless,0,1000,1000
SO-12736956,Zodiac Symbol Necklace - BU,Zodiac Necklace,17.50,other,other,stainless,0,1000,1000
SO-12736957,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,14.00,other,other,gold,0,1000,1000
SO-12736958,Zodiac Symbol Necklace - BU,Gold Zodiac Necklace,22.50,other,other,gold,0,1000,1000
SO-12736960,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736961,Acrylic Dome Plaque - BU,Acrylic Dome with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736964,Love You Forever Bracelet - API,Love You Forever Bracelet,13.00,other,other,other,0,1000,1000
SO-12736966,Acrylic Heart Plaque - BU,Acrylic Heart with LED Corded Base,12.00,other,other,other,0,1000,1000
SO-12736967,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736968,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736969,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736970,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736971,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736972,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736973,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736974,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736975,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736977,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736978,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736979,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736980,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736981,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736982,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736983,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736984,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736985,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736986,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736987,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736988,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736989,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736990,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736991,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736992,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736993,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736994,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736995,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12736996,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12736997,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12736998,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12736999,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12737000,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12737001,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12737002,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12737003,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12737004,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12737005,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12737006,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12737007,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12737008,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12737009,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12737010,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12737011,Flower Name Necklace - (API / CSV),Flower Name Necklace,13.00,other,other,stainless,0,1000,1000
SO-12737012,Flower Name Necklace - (API / CSV),Gold Flower Necklace,18.00,other,other,gold,0,1000,1000
SO-12737013,Flower Name Necklace - (API / CSV),Flower Name Necklace,21.50,other,other,stainless,0,1000,1000
SO-12737014,Flower Name Necklace - (API / CSV),Gold Flower Necklace,26.50,other,other,gold,0,1000,1000
SO-12737016,Love You Forever Bracelet - API,Love You Forever Bracelet w/ Luxury Box & LED,21.50,other,other,other,0,1000,1000
SO-12737021,Men's Cross Bracelet - API,Men's Cross Bracelet,9.00,other,other,other,0,1000,1000
