sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-9702667,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-9714879,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9714880,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9714881,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9714882,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9715291,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9715296,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9715297,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9715298,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9774194,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9774195,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9774196,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9774197,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9836017,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9836018,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9836019,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9836020,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9836712,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9836713,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9836714,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9836715,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9901119,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-9901120,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
